time_jst,ssr,station,squawk,pressure_alt_ft,lat,lon,alt_m,azimuth_rad,tau_ns,replies,sigma_e_m,sigma_n_m,sigma_u_m,track,status
2026-06-10T00:00:00.937346700,KX90S,KX90,3650,2000,34.8810675,136.7781593,609.600,5.425490565,33525,4,135.9,154.8,8.8,1,ok
2026-06-10T00:00:00.963895000,KX90S,KX90,3245,34000,35.2226653,136.3372854,10363.200,5.466820394,408150,22,148.6,157.2,8.8,2,ok
2026-06-10T00:00:01.102536050,KX90S,KX90,6152,30000,35.9069750,135.9289473,9144.000,5.682653947,952125,4,4569.8,3130.1,8.8,3,unconfirmed
2026-06-10T00:00:02.907819500,KX90S,KX90,3534,8100,34.5031703,137.3835289,2468.880,2.209897040,437065,20,139.0,182.5,8.8,4,ok
2026-06-10T00:00:02.950591700,KX90S,KX90,6250,5500,34.5986131,137.1778229,1676.400,2.276483988,294435,20,103.5,118.1,8.8,5,ok
2026-06-10T00:00:03.034661300,KX90S,KX90,3240,22800,34.1181736,137.6129797,6949.440,2.407361781,736667,3,3432.4,3098.0,8.8,6,unconfirmed
2026-06-10T00:00:03.506630800,KX90S,KX90,7016,19200,34.2468357,136.8205596,5852.160,3.142114305,454611,9,1418.1,46.0,8.8,7,ok
2026-06-10T00:00:04.338477100,KX90S,KX90,6141,32000,34.7974736,136.5938968,9753.600,4.437115626,159210,20,52.8,73.9,8.8,8,ok
2026-06-10T00:00:04.667380800,KX90S,KX90,3650,2100,34.8617093,136.7649308,640.080,4.949146290,34877,22,45.4,20.9,8.8,9,ok
2026-06-10T00:00:04.996284600,KX90S,KX90,3245,34000,35.2160858,136.3404559,10363.200,5.461166697,403495,21,146.2,156.2,8.8,2,ok
2026-06-10T00:00:06.944633800,KX90S,KX90,3534,8100,34.5061451,137.3786849,2468.880,2.209952624,433372,18,137.9,180.9,8.8,4,ok
2026-06-10T00:00:06.987406000,KX90S,KX90,6250,5400,34.6017449,137.1733885,1645.920,2.276513498,290860,20,102.3,116.7,8.8,5,ok
2026-06-10T00:00:08.348743100,KX90S,KX90,6141,32000,34.7897926,136.5973873,9753.600,4.394985480,159023,22,53.5,73.2,8.8,8,ok
2026-06-10T00:00:08.676171950,KX90S,KX90,3650,2200,34.8600890,136.7615668,670.560,4.904520453,36748,21,45.8,20.9,8.8,9,ok
2026-06-10T00:00:09.028674200,KX90S,KX90,3245,34000,35.2086031,136.3426196,10363.200,5.453077083,398858,19,143.4,155.5,8.8,2,ok
2026-06-10T00:00:09.419523950,KX90S,KX90,3650,2300,34.8994118,136.8075744,701.040,6.061400411,37067,6,172.3,59.7,8.8,1,ok
2026-06-10T00:00:10.984397900,KX90S,KX90,3534,8000,34.5073323,137.3723440,2438.400,2.213819391,429737,19,137.5,178.9,8.8,4,ok
2026-06-10T00:00:11.027170150,KX90S,KX90,6250,5400,34.6036463,137.1679849,1645.920,2.280391045,287439,18,101.6,115.1,8.8,5,ok
2026-06-10T00:00:11.046343900,KX90S,KX90,4630,5400,34.5951658,137.1589734,1645.920,2.310233510,287500,3,1198.5,1313.9,8.8,10,unconfirmed
2026-06-10T00:00:11.565510400,KX90S,KX90,7016,19700,34.2354797,136.8382113,6004.560,3.118275649,463275,8,1686.0,60.5,8.8,7,ok
2026-06-10T00:00:12.363433900,KX90S,KX90,6141,32000,34.7835105,136.6004022,9753.600,4.360181322,158963,19,54.1,72.7,8.8,8,ok
2026-06-10T00:00:12.680538400,KX90S,KX90,3650,2400,34.8578757,136.7586283,731.520,4.853729786,38421,19,46.2,20.9,8.8,9,ok
2026-06-10T00:00:13.065488550,KX90S,KX90,3245,34000,35.2042352,136.3483000,10363.200,5.452871678,394200,20,141.8,153.7,8.8,2,ok
2026-06-10T00:00:13.261650900,KX90S,KX90,4312,39000,36.0235599,135.9825670,11887.200,5.758142927,1008800,3,5534.8,3206.4,8.8,11,unconfirmed
2026-06-10T00:00:13.289674050,KX90S,KX90,4302,39000,36.0525432,136.0461865,11887.200,5.801752594,1008850,10,2359.0,1233.0,8.8,12,ok
2026-06-10T00:00:13.450438700,KX90S,KX90,3650,2400,34.9014414,136.8064031,731.520,6.051934366,38667,3,239.2,72.2,8.8,1,ok
2026-06-10T00:00:15.021212200,KX90S,KX90,3534,7900,34.5105502,137.3679311,2407.920,2.213185644,426137,19,136.3,177.5,8.8,4,ok
2026-06-10T00:00:15.068409200,KX90S,KX90,6250,5300,34.6050365,137.1617305,1615.440,2.286633503,283871,21,101.0,113.2,8.8,5,ok
2026-06-10T00:00:15.590525450,KX90S,KX90,7016,20000,34.2303779,136.8526506,6096.000,3.099150453,467438,8,1700.0,85.6,8.8,7,ok
2026-06-10T00:00:16.373699850,KX90S,KX90,6141,32000,34.7758386,136.6038925,9753.600,4.317925876,159204,23,54.9,72.1,8.8,8,ok
2026-06-10T00:00:16.681954900,KX90S,KX90,3650,2500,34.8551365,136.7560532,762.000,4.797632211,39929,21,46.4,21.1,8.8,9,ok
2026-06-10T00:00:17.097878100,KX90S,KX90,3245,34000,35.1969013,136.3506434,10363.200,5.444886786,389585,20,139.1,152.9,8.8,2,ok
2026-06-10T00:00:17.298465150,KX90S,KX90,4302,39000,36.0298040,135.9757175,11887.200,5.756961584,1014860,5,4636.1,2693.2,8.8,12,ok
2026-06-10T00:00:19.060976400,KX90S,KX90,3534,7800,34.5122960,137.3621723,2377.440,2.215833331,422540,20,135.6,175.7,8.8,4,ok
2026-06-10T00:00:19.106698400,KX90S,KX90,6250,5200,34.6080685,137.1573176,1584.960,2.286966192,280355,20,99.9,111.8,8.8,5,ok
2026-06-10T00:00:19.617015500,KX90S,KX90,7016,20200,34.2253571,136.8666791,6156.960,3.080900704,471667,3,2940.0,184.5,8.8,7,ok
2026-06-10T00:00:19.758606350,KX90S,KX90,3650,2600,34.8042737,136.8119020,792.480,3.301183110,40756,9,108.9,49.3,8.8,13,ok
2026-06-10T00:00:20.388390700,KX90S,KX90,6141,32000,34.7691794,136.6071296,9753.600,4.280980904,159500,24,55.7,71.6,8.8,8,ok
2026-06-10T00:00:20.686321500,KX90S,KX90,3650,2700,34.8523262,136.7544168,822.960,4.744491804,41016,19,46.6,21.3,8.8,9,ok
2026-06-10T00:00:21.134692550,KX90S,KX90,3245,34000,35.1915704,136.3552690,10363.200,5.442050937,384937,19,137.1,151.5,8.8,2,ok
2026-06-10T00:00:23.099265650,KX90S,KX90,3534,7800,34.5156548,137.3578758,2377.440,2.214898350,418942,19,134.4,174.3,8.8,4,ok
2026-06-10T00:00:23.146462600,KX90S,KX90,6250,5200,34.6108293,137.1526046,1584.960,2.288316463,276842,19,98.9,110.4,8.8,5,ok
2026-06-10T00:00:23.214308200,KX90S,KX90,3240,23100,34.1022162,137.6520994,7040.880,2.393855002,761567,3,3506.2,3251.6,8.8,14,ok
2026-06-10T00:00:23.686277750,KX90S,KX90,7016,20300,34.2184110,136.8312564,6187.440,3.128036141,475867,6,2228.8,55.0,8.8,7,ok
2026-06-10T00:00:23.793945750,KX90S,KX90,3650,2800,34.8029501,136.8119790,853.440,3.295521213,41775,8,130.7,50.4,8.8,13,ok
2026-06-10T00:00:24.401606500,KX90S,KX90,6141,32000,34.7618481,136.6105353,9753.600,4.240779429,160110,20,56.6,71.1,8.8,8,ok
2026-06-10T00:00:24.687738050,KX90S,KX90,3650,2800,34.8490841,136.7532206,853.440,4.685876744,41952,21,46.6,21.7,8.8,9,ok
2026-06-10T00:00:25.172981700,KX90S,KX90,3245,34000,35.1868749,136.3604808,10363.200,5.440713983,380337,19,135.3,149.9,8.8,2,ok
